destination,origin,outbound_date,quote
DXBA-sky,HKGA-sky,2021-01-10,325
DXBA-sky,HKGA-sky,2021-01-11,352
DXBA-sky,HKGA-sky,2021-01-12,322
DXBA-sky,HKGA-sky,2021-01-13,352
DXBA-sky,HKGA-sky,2021-01-14,322
DXBA-sky,HKGA-sky,2021-01-15,352
DXBA-sky,HKGA-sky,2021-01-16,
DXBA-sky,HKGA-sky,2021-01-17,
DXBA-sky,HKGA-sky,2021-01-18,363
DXBA-sky,HKGA-sky,2021-01-19,
DXBA-sky,HKGA-sky,2021-01-20,361
DXBA-sky,HKGA-sky,2021-01-21,
DXBA-sky,HKGA-sky,2021-01-22,
DXBA-sky,HKGA-sky,2021-01-23,
DXBA-sky,HKGA-sky,2021-01-24,
DXBA-sky,HKGA-sky,2021-01-25,
DXBA-sky,HKGA-sky,2021-01-26,
DXBA-sky,HKGA-sky,2021-01-27,
DXBA-sky,HKGA-sky,2021-01-28,351
DXBA-sky,HKGA-sky,2021-01-29,
DXBA-sky,HKGA-sky,2021-01-30,
DXBA-sky,HKGA-sky,2021-01-31,
NYCA-sky,HKGA-sky,2021-01-01,759
NYCA-sky,HKGA-sky,2021-01-02,930
NYCA-sky,HKGA-sky,2021-01-03,575
NYCA-sky,HKGA-sky,2021-01-04,827
NYCA-sky,HKGA-sky,2021-01-05,588
NYCA-sky,HKGA-sky,2021-01-06,804
NYCA-sky,HKGA-sky,2021-01-07,
NYCA-sky,HKGA-sky,2021-01-08,424
NYCA-sky,HKGA-sky,2021-01-09,419
NYCA-sky,HKGA-sky,2021-01-10,411
NYCA-sky,HKGA-sky,2021-01-11,774
NYCA-sky,HKGA-sky,2021-01-12,456
NYCA-sky,HKGA-sky,2021-01-13,
NYCA-sky,HKGA-sky,2021-01-14,
NYCA-sky,HKGA-sky,2021-01-15,471
NYCA-sky,HKGA-sky,2021-01-16,529
NYCA-sky,HKGA-sky,2021-01-17,
NYCA-sky,HKGA-sky,2021-01-18,773
NYCA-sky,HKGA-sky,2021-01-19,537
NYCA-sky,HKGA-sky,2021-01-20,700
NYCA-sky,HKGA-sky,2021-01-21,
NYCA-sky,HKGA-sky,2021-01-22,
NYCA-sky,HKGA-sky,2021-01-23,444
NYCA-sky,HKGA-sky,2021-01-24,570
NYCA-sky,HKGA-sky,2021-01-25,585
NYCA-sky,HKGA-sky,2021-01-26,
NYCA-sky,HKGA-sky,2021-01-27,449
NYCA-sky,HKGA-sky,2021-01-28,
NYCA-sky,HKGA-sky,2021-01-29,
NYCA-sky,HKGA-sky,2021-01-30,
NYCA-sky,HKGA-sky,2021-01-31,
KULM-sky,HKGA-sky,2021-01-01,174
KULM-sky,HKGA-sky,2021-01-02,174
KULM-sky,HKGA-sky,2021-01-03,169
KULM-sky,HKGA-sky,2021-01-04,
KULM-sky,HKGA-sky,2021-01-05,
KULM-sky,HKGA-sky,2021-01-06,171
KULM-sky,HKGA-sky,2021-01-07,
KULM-sky,HKGA-sky,2021-01-08,170
KULM-sky,HKGA-sky,2021-01-09,171
KULM-sky,HKGA-sky,2021-01-10,
KULM-sky,HKGA-sky,2021-01-11,
KULM-sky,HKGA-sky,2021-01-12,
KULM-sky,HKGA-sky,2021-01-13,155
KULM-sky,HKGA-sky,2021-01-14,
KULM-sky,HKGA-sky,2021-01-15,177
KULM-sky,HKGA-sky,2021-01-16,
KULM-sky,HKGA-sky,2021-01-17,
KULM-sky,HKGA-sky,2021-01-18,
KULM-sky,HKGA-sky,2021-01-19,174
KULM-sky,HKGA-sky,2021-01-20,170
KULM-sky,HKGA-sky,2021-01-21,174
KULM-sky,HKGA-sky,2021-01-22,178
KULM-sky,HKGA-sky,2021-01-23,
KULM-sky,HKGA-sky,2021-01-24,
KULM-sky,HKGA-sky,2021-01-25,
KULM-sky,HKGA-sky,2021-01-26,
KULM-sky,HKGA-sky,2021-01-27,
KULM-sky,HKGA-sky,2021-01-28,170
KULM-sky,HKGA-sky,2021-01-29,
KULM-sky,HKGA-sky,2021-01-30,
KULM-sky,HKGA-sky,2021-01-31,
ISTA-sky,HKGA-sky,2021-01-01,412
ISTA-sky,HKGA-sky,2021-01-02,
ISTA-sky,HKGA-sky,2021-01-03,
ISTA-sky,HKGA-sky,2021-01-04,433
ISTA-sky,HKGA-sky,2021-01-05,433
ISTA-sky,HKGA-sky,2021-01-06,
ISTA-sky,HKGA-sky,2021-01-07,
ISTA-sky,HKGA-sky,2021-01-08,
ISTA-sky,HKGA-sky,2021-01-09,
ISTA-sky,HKGA-sky,2021-01-10,
ISTA-sky,HKGA-sky,2021-01-11,
ISTA-sky,HKGA-sky,2021-01-12,
ISTA-sky,HKGA-sky,2021-01-13,
ISTA-sky,HKGA-sky,2021-01-14,
ISTA-sky,HKGA-sky,2021-01-15,
ISTA-sky,HKGA-sky,2021-01-16,
ISTA-sky,HKGA-sky,2021-01-17,
ISTA-sky,HKGA-sky,2021-01-18,
ISTA-sky,HKGA-sky,2021-01-19,
ISTA-sky,HKGA-sky,2021-01-20,
ISTA-sky,HKGA-sky,2021-01-21,
ISTA-sky,HKGA-sky,2021-01-22,
ISTA-sky,HKGA-sky,2021-01-23,
ISTA-sky,HKGA-sky,2021-01-24,
ISTA-sky,HKGA-sky,2021-01-25,
ISTA-sky,HKGA-sky,2021-01-26,
ISTA-sky,HKGA-sky,2021-01-27,
ISTA-sky,HKGA-sky,2021-01-28,
ISTA-sky,HKGA-sky,2021-01-29,
ISTA-sky,HKGA-sky,2021-01-30,
ISTA-sky,HKGA-sky,2021-01-31,
HKGA-sky,BKKT-sky,2021-01-01,101
HKGA-sky,BKKT-sky,2021-01-02,69
HKGA-sky,BKKT-sky,2021-01-03,120
HKGA-sky,BKKT-sky,2021-01-04,72
HKGA-sky,BKKT-sky,2021-01-05,89
HKGA-sky,BKKT-sky,2021-01-06,78
HKGA-sky,BKKT-sky,2021-01-07,69
HKGA-sky,BKKT-sky,2021-01-08,89
HKGA-sky,BKKT-sky,2021-01-09,69
HKGA-sky,BKKT-sky,2021-01-10,
HKGA-sky,BKKT-sky,2021-01-11,80
HKGA-sky,BKKT-sky,2021-01-12,87
HKGA-sky,BKKT-sky,2021-01-13,
HKGA-sky,BKKT-sky,2021-01-14,69
HKGA-sky,BKKT-sky,2021-01-15,
HKGA-sky,BKKT-sky,2021-01-16,
HKGA-sky,BKKT-sky,2021-01-17,
HKGA-sky,BKKT-sky,2021-01-18,
HKGA-sky,BKKT-sky,2021-01-19,69
HKGA-sky,BKKT-sky,2021-01-20,
HKGA-sky,BKKT-sky,2021-01-21,
HKGA-sky,BKKT-sky,2021-01-22,
HKGA-sky,BKKT-sky,2021-01-23,
HKGA-sky,BKKT-sky,2021-01-24,
HKGA-sky,BKKT-sky,2021-01-25,
HKGA-sky,BKKT-sky,2021-01-26,
HKGA-sky,BKKT-sky,2021-01-27,
HKGA-sky,BKKT-sky,2021-01-28,
HKGA-sky,BKKT-sky,2021-01-29,
HKGA-sky,BKKT-sky,2021-01-30,69
HKGA-sky,BKKT-sky,2021-01-31,72
LOND-sky,BKKT-sky,2021-01-01,462
LOND-sky,BKKT-sky,2021-01-02,487
LOND-sky,BKKT-sky,2021-01-03,487
LOND-sky,BKKT-sky,2021-01-04,477
