origin,destination,outbound_date,quote
HKGA-sky,SINS-sky,2021-01-13,148.0
HKGA-sky,SINS-sky,2021-01-14,149.0
HKGA-sky,SINS-sky,2021-01-15,162.0
HKGA-sky,SINS-sky,2021-01-16,2147483647.0
HKGA-sky,SINS-sky,2021-01-17,162.0
HKGA-sky,SINS-sky,2021-01-18,162.0
HKGA-sky,SINS-sky,2021-01-19,159.0
HKGA-sky,SINS-sky,2021-01-20,149.0
HKGA-sky,SINS-sky,2021-01-21,159.0
HKGA-sky,SINS-sky,2021-01-22,159.0
HKGA-sky,SINS-sky,2021-01-23,2147483647.0
HKGA-sky,SINS-sky,2021-01-24,149.0
HKGA-sky,SINS-sky,2021-01-25,162.0
HKGA-sky,SINS-sky,2021-01-26,149.0
HKGA-sky,SINS-sky,2021-01-27,179.0
HKGA-sky,SINS-sky,2021-01-28,2147483647.0
HKGA-sky,SINS-sky,2021-01-29,149.0
HKGA-sky,SINS-sky,2021-01-30,149.0
HKGA-sky,SINS-sky,2021-01-31,149.0
HKGA-sky,SINS-sky,2021-02-01,151.0
HKGA-sky,SINS-sky,2021-02-02,176.0
HKGA-sky,SINS-sky,2021-02-03,152.0
HKGA-sky,SINS-sky,2021-02-04,152.0
HKGA-sky,SINS-sky,2021-02-05,151.0
HKGA-sky,SINS-sky,2021-02-06,152.0
HKGA-sky,SINS-sky,2021-02-07,152.0
HKGA-sky,SINS-sky,2021-02-08,152.0
HKGA-sky,SINS-sky,2021-02-09,152.0
HKGA-sky,SINS-sky,2021-02-10,162.0
HKGA-sky,SINS-sky,2021-02-11,162.0
HKGA-sky,SINS-sky,2021-02-12,357.0
HKGA-sky,SINS-sky,2021-02-13,2147483647.0
HKGA-sky,SINS-sky,2021-02-14,178.0
HKGA-sky,SINS-sky,2021-02-15,357.0
HKGA-sky,SINS-sky,2021-02-16,357.0
HKGA-sky,SINS-sky,2021-02-17,357.0
HKGA-sky,SINS-sky,2021-02-18,2147483647.0
HKGA-sky,SINS-sky,2021-02-19,2147483647.0
HKGA-sky,SINS-sky,2021-02-20,86.0
HKGA-sky,SINS-sky,2021-02-21,86.0
HKGA-sky,PARI-sky,2021-01-01,528.0
HKGA-sky,PARI-sky,2021-01-02,415.0
HKGA-sky,PARI-sky,2021-01-03,2147483647.0
HKGA-sky,PARI-sky,2021-01-04,2147483647.0
HKGA-sky,PARI-sky,2021-01-05,2147483647.0
HKGA-sky,PARI-sky,2021-01-06,2147483647.0
HKGA-sky,PARI-sky,2021-01-07,2147483647.0
HKGA-sky,PARI-sky,2021-01-08,2147483647.0
HKGA-sky,PARI-sky,2021-01-09,402.0
HKGA-sky,PARI-sky,2021-01-10,2147483647.0
HKGA-sky,PARI-sky,2021-01-11,2147483647.0
HKGA-sky,PARI-sky,2021-01-12,402.0
HKGA-sky,PARI-sky,2021-01-13,2147483647.0
HKGA-sky,PARI-sky,2021-01-14,2147483647.0
HKGA-sky,PARI-sky,2021-01-15,370.0
HKGA-sky,PARI-sky,2021-01-16,2147483647.0
HKGA-sky,PARI-sky,2021-01-17,2147483647.0
HKGA-sky,PARI-sky,2021-01-18,2147483647.0
HKGA-sky,PARI-sky,2021-01-19,2147483647.0
HKGA-sky,PARI-sky,2021-01-20,370.0
HKGA-sky,PARI-sky,2021-01-21,2147483647.0
HKGA-sky,PARI-sky,2021-01-22,2147483647.0
HKGA-sky,PARI-sky,2021-01-23,2147483647.0
HKGA-sky,PARI-sky,2021-01-24,2147483647.0
HKGA-sky,PARI-sky,2021-01-25,2147483647.0
HKGA-sky,PARI-sky,2021-01-26,2147483647.0
HKGA-sky,PARI-sky,2021-01-27,2147483647.0
HKGA-sky,PARI-sky,2021-01-28,2147483647.0
HKGA-sky,PARI-sky,2021-01-29,2147483647.0
HKGA-sky,PARI-sky,2021-01-30,2147483647.0
HKGA-sky,PARI-sky,2021-01-31,2147483647.0
HKGA-sky,PARI-sky,2021-02-01,370.0
HKGA-sky,PARI-sky,2021-02-02,2147483647.0
HKGA-sky,PARI-sky,2021-02-03,370.0
HKGA-sky,PARI-sky,2021-02-04,370.0
HKGA-sky,PARI-sky,2021-02-05,2147483647.0
HKGA-sky,PARI-sky,2021-02-06,2147483647.0
HKGA-sky,PARI-sky,2021-02-07,2147483647.0
HKGA-sky,PARI-sky,2021-02-08,2147483647.0
HKGA-sky,PARI-sky,2021-02-09,484.0
HKGA-sky,PARI-sky,2021-02-10,563.0
HKGA-sky,PARI-sky,2021-02-11,2147483647.0
HKGA-sky,PARI-sky,2021-02-12,2147483647.0
HKGA-sky,PARI-sky,2021-02-13,2147483647.0
HKGA-sky,PARI-sky,2021-02-14,2147483647.0
HKGA-sky,PARI-sky,2021-02-15,2147483647.0
HKGA-sky,PARI-sky,2021-02-16,2147483647.0
HKGA-sky,PARI-sky,2021-02-17,2147483647.0
HKGA-sky,PARI-sky,2021-02-18,2147483647.0
HKGA-sky,PARI-sky,2021-02-19,2147483647.0
HKGA-sky,PARI-sky,2021-02-20,2147483647.0
HKGA-sky,PARI-sky,2021-02-21,2147483647.0
HKGA-sky,DXBA-sky,2021-01-01,409.0
HKGA-sky,DXBA-sky,2021-01-02,2147483647.0
HKGA-sky,DXBA-sky,2021-01-03,2147483647.0
HKGA-sky,DXBA-sky,2021-01-04,2147483647.0
HKGA-sky,DXBA-sky,2021-01-05,399.0
HKGA-sky,DXBA-sky,2021-01-06,484.0
HKGA-sky,DXBA-sky,2021-01-07,2147483647.0
HKGA-sky,DXBA-sky,2021-01-08,2147483647.0
HKGA-sky,DXBA-sky,2021-01-09,485.0
HKGA-sky,DXBA-sky,2021-01-10,485.0
HKGA-sky,DXBA-sky,2021-01-11,361.0
HKGA-sky,DXBA-sky,2021-01-12,2147483647.0
HKGA-sky,DXBA-sky,2021-01-13,2147483647.0
HKGA-sky,DXBA-sky,2021-01-14,2147483647.0
HKGA-sky,DXBA-sky,2021-01-15,349.0
HKGA-sky,DXBA-sky,2021-01-16,2147483647.0
HKGA-sky,DXBA-sky,2021-01-17,362.0
HKGA-sky,DXBA-sky,2021-01-18,1687.0
HKGA-sky,DXBA-sky,2021-01-19,2147483647.0
HKGA-sky,DXBA-sky,2021-01-20,2147483647.0
HKGA-sky,DXBA-sky,2021-01-21,1680.0
HKGA-sky,DXBA-sky,2021-01-22,2147483647.0
HKGA-sky,DXBA-sky,2021-01-23,2147483647.0
HKGA-sky,DXBA-sky,2021-01-24,2147483647.0
HKGA-sky,DXBA-sky,2021-01-25,2147483647.0
HKGA-sky,DXBA-sky,2021-01-26,2147483647.0
HKGA-sky,DXBA-sky,2021-01-27,2147483647.0
HKGA-sky,DXBA-sky,2021-01-28,1686.0
HKGA-sky,DXBA-sky,2021-01-29,2147483647.0
HKGA-sky,DXBA-sky,2021-01-30,2147483647.0
HKGA-sky,DXBA-sky,2021-01-31,2147483647.0
HKGA-sky,DXBA-sky,2021-02-01,2147483647.0
HKGA-sky,DXBA-sky,2021-02-02,2147483647.0
HKGA-sky,DXBA-sky,2021-02-03,2147483647.0
HKGA-sky,DXBA-sky,2021-02-04,2147483647.0
HKGA-sky,DXBA-sky,2021-02-05,2147483647.0
HKGA-sky,DXBA-sky,2021-02-06,2147483647.0
HKGA-sky,DXBA-sky,2021-02-07,2147483647.0
HKGA-sky,DXBA-sky,2021-02-08,2147483647.0
HKGA-sky,DXBA-sky,2021-02-09,2147483647.0
HKGA-sky,DXBA-sky,2021-02-10,275.0
HKGA-sky,DXBA-sky,2021-02-11,2147483647.0
HKGA-sky,DXBA-sky,2021-02-12,275.0
HKGA-sky,DXBA-sky,2021-02-13,2147483647.0
HKGA-sky,DXBA-sky,2021-02-14,2147483647.0
HKGA-sky,DXBA-sky,2021-02-15,2147483647.0
HKGA-sky,DXBA-sky,2021-02-16,1685.0
HKGA-sky,DXBA-sky,2021-02-17,2147483647.0
HKGA-sky,DXBA-sky,2021-02-18,2147483647.0
HKGA-sky,DXBA-sky,2021-02-19,2147483647.0
HKGA-sky,DXBA-sky,2021-02-20,2147483647.0
HKGA-sky,DXBA-sky,2021-02-21,2147483647.0
HKGA-sky,NYCA-sky,2021-01-01,761.0
HKGA-sky,NYCA-sky,2021-01-02,933.0
HKGA-sky,NYCA-sky,2021-01-03,577.0
HKGA-sky,NYCA-sky,2021-01-04,830.0
HKGA-sky,NYCA-sky,2021-01-05,774.0
HKGA-sky,NYCA-sky,2021-01-06,509.0
HKGA-sky,NYCA-sky,2021-01-07,408.0
HKGA-sky,NYCA-sky,2021-01-08,415.0
HKGA-sky,NYCA-sky,2021-01-09,776.0
HKGA-sky,NYCA-sky,2021-01-10,415.0
HKGA-sky,NYCA-sky,2021-01-11,776.0
HKGA-sky,NYCA-sky,2021-01-12,458.0
HKGA-sky,NYCA-sky,2021-01-13,460.0
HKGA-sky,NYCA-sky,2021-01-14,469.0
HKGA-sky,NYCA-sky,2021-01-15,470.0
HKGA-sky,NYCA-sky,2021-01-16,531.0
HKGA-sky,NYCA-sky,2021-01-17,474.0
HKGA-sky,NYCA-sky,2021-01-18,661.0
HKGA-sky,NYCA-sky,2021-01-19,538.0
HKGA-sky,NYCA-sky,2021-01-20,702.0
HKGA-sky,NYCA-sky,2021-01-21,663.0
HKGA-sky,NYCA-sky,2021-01-22,2147483647.0
HKGA-sky,NYCA-sky,2021-01-23,446.0
HKGA-sky,NYCA-sky,2021-01-24,571.0
HKGA-sky,NYCA-sky,2021-01-25,451.0
HKGA-sky,NYCA-sky,2021-01-26,2147483647.0
HKGA-sky,NYCA-sky,2021-01-27,451.0
HKGA-sky,NYCA-sky,2021-01-28,2147483647.0
HKGA-sky,NYCA-sky,2021-01-29,463.0
HKGA-sky,NYCA-sky,2021-01-30,2147483647.0
HKGA-sky,NYCA-sky,2021-01-31,2147483647.0
HKGA-sky,NYCA-sky,2021-02-01,649.0
HKGA-sky,NYCA-sky,2021-02-02,2147483647.0
HKGA-sky,NYCA-sky,2021-02-03,560.0
HKGA-sky,NYCA-sky,2021-02-04,2147483647.0
HKGA-sky,NYCA-sky,2021-02-05,2147483647.0
HKGA-sky,NYCA-sky,2021-02-06,606.0
HKGA-sky,NYCA-sky,2021-02-07,2147483647.0
HKGA-sky,NYCA-sky,2021-02-08,2147483647.0
HKGA-sky,NYCA-sky,2021-02-09,2147483647.0
HKGA-sky,NYCA-sky,2021-02-10,2147483647.0
HKGA-sky,NYCA-sky,2021-02-11,2147483647.0
HKGA-sky,NYCA-sky,2021-02-12,461.0
HKGA-sky,NYCA-sky,2021-02-13,649.0
HKGA-sky,NYCA-sky,2021-02-14,2147483647.0
HKGA-sky,NYCA-sky,2021-02-15,570.0
HKGA-sky,NYCA-sky,2021-02-16,479.0
HKGA-sky,NYCA-sky,2021-02-17,570.0
HKGA-sky,NYCA-sky,2021-02-18,2147483647.0
HKGA-sky,NYCA-sky,2021-02-19,2147483647.0
HKGA-sky,NYCA-sky,2021-02-20,2147483647.0
HKGA-sky,NYCA-sky,2021-02-21,2147483647.0
HKGA-sky,KULM-sky,2021-01-01,174.0
HKGA-sky,KULM-sky,2021-01-02,170.0
HKGA-sky,KULM-sky,2021-01-03,2147483647.0
HKGA-sky,KULM-sky,2021-01-04,177.0
HKGA-sky,KULM-sky,2021-01-05,148.0
HKGA-sky,KULM-sky,2021-01-06,179.0
HKGA-sky,KULM-sky,2021-01-07,2147483647.0
HKGA-sky,KULM-sky,2021-01-08,170.0
HKGA-sky,KULM-sky,2021-01-09,2147483647.0
HKGA-sky,KULM-sky,2021-01-10,2147483647.0
HKGA-sky,KULM-sky,2021-01-11,2147483647.0
HKGA-sky,KULM-sky,2021-01-12,177.0
HKGA-sky,KULM-sky,2021-01-13,2147483647.0
HKGA-sky,KULM-sky,2021-01-14,2147483647.0
HKGA-sky,KULM-sky,2021-01-15,177.0
HKGA-sky,KULM-sky,2021-01-16,177.0
HKGA-sky,KULM-sky,2021-01-17,2147483647.0
HKGA-sky,KULM-sky,2021-01-18,2147483647.0
HKGA-sky,KULM-sky,2021-01-19,175.0
HKGA-sky,KULM-sky,2021-01-20,170.0
HKGA-sky,KULM-sky,2021-01-21,2147483647.0
HKGA-sky,KULM-sky,2021-01-22,2147483647.0
HKGA-sky,KULM-sky,2021-01-23,2147483647.0
HKGA-sky,KULM-sky,2021-01-24,2147483647.0
HKGA-sky,KULM-sky,2021-01-25,2147483647.0
HKGA-sky,KULM-sky,2021-01-26,2147483647.0
HKGA-sky,KULM-sky,2021-01-27,2147483647.0
HKGA-sky,KULM-sky,2021-01-28,2147483647.0
HKGA-sky,KULM-sky,2021-01-29,2147483647.0
HKGA-sky,KULM-sky,2021-01-30,2147483647.0
HKGA-sky,KULM-sky,2021-01-31,2147483647.0
HKGA-sky,KULM-sky,2021-02-01,2147483647.0
HKGA-sky,KULM-sky,2021-02-02,2147483647.0
HKGA-sky,KULM-sky,2021-02-03,2147483647.0
HKGA-sky,KULM-sky,2021-02-04,2147483647.0
HKGA-sky,KULM-sky,2021-02-05,2147483647.0
HKGA-sky,KULM-sky,2021-02-06,169.0
HKGA-sky,KULM-sky,2021-02-07,149.0
HKGA-sky,KULM-sky,2021-02-08,2147483647.0
HKGA-sky,KULM-sky,2021-02-09,166.0
HKGA-sky,KULM-sky,2021-02-10,2147483647.0
HKGA-sky,KULM-sky,2021-02-11,2147483647.0
HKGA-sky,KULM-sky,2021-02-12,2147483647.0
HKGA-sky,KULM-sky,2021-02-13,2147483647.0
HKGA-sky,KULM-sky,2021-02-14,2147483647.0
HKGA-sky,KULM-sky,2021-02-15,2147483647.0
